frame,delta_s,pose,foot_x,foot_y,live_numbers,stage,tap_damage_total,arc_progress
0,0.04167,idle,344.000,601.600,0,7,0,0.000
1,0.02917,idle,344.000,601.600,0,7,0,0.000
2,0.03000,idle,344.000,601.600,0,7,0,0.000
3,0.03250,idle,344.000,601.600,0,7,0,0.000
4,0.03333,idle,344.000,601.600,0,7,0,0.000
5,0.03333,idle,344.000,601.600,0,7,0,0.000
6,0.03333,idle,344.000,601.600,0,7,0,0.000
7,0.03333,idle,344.000,601.600,0,7,0,0.000
8,0.03333,idle,344.000,601.600,0,7,0,0.000
9,0.03333,idle,344.000,601.600,0,7,0,0.000
10,0.03333,idle,344.000,601.600,0,7,0,0.000
11,0.03333,idle,344.000,601.600,0,7,0,0.000
12,0.03333,idle,344.000,601.600,0,7,0,0.000
13,0.03333,idle,344.000,601.600,0,7,0,0.000
14,0.03333,idle,344.000,601.600,0,7,0,0.000
15,0.03333,idle,344.000,601.600,0,7,0,0.000
16,0.03333,idle,344.000,601.600,0,7,0,0.000
17,0.03333,idle,344.000,601.600,0,7,0,0.000
18,0.03333,idle,344.000,601.600,0,7,0,0.000
19,0.03333,idle,344.000,601.600,0,7,0,0.000
20,0.03333,idle,344.000,601.600,0,7,0,0.000
21,0.03333,idle,344.000,601.600,0,7,0,0.000
22,0.03333,idle,344.000,601.600,0,7,0,0.000
23,0.03333,idle,344.000,601.600,0,7,0,0.000
24,0.03333,idle,344.000,601.600,0,7,0,0.000
25,0.03333,idle,344.000,601.600,0,7,0,0.000
26,0.03333,idle,344.000,601.600,0,7,0,0.000
27,0.03333,idle,344.000,601.600,0,7,0,0.000
28,0.03333,idle,344.000,601.600,0,7,0,0.000
29,0.03333,idle,344.000,601.600,0,7,0,0.000
30,0.03333,idle,344.000,601.600,0,7,0,0.000
31,0.03333,idle,344.000,601.600,0,7,0,0.000
32,0.03333,idle,344.000,601.600,0,7,0,0.000
33,0.03333,idle,344.000,601.600,0,7,0,0.000
34,0.03333,idle,344.000,601.600,0,7,0,0.000
35,0.03333,idle,344.000,601.600,0,7,0,0.000
36,0.03333,idle,344.000,601.600,0,7,0,0.000
37,0.03333,idle,344.000,601.600,0,7,0,0.000
38,0.03333,idle,344.000,601.600,0,7,0,0.000
39,0.03333,idle,344.000,601.600,0,7,0,0.000
40,0.03333,idle,344.000,608.460,0,7,0,0.245
41,0.03333,attack,343.769,590.947,0,7,0,0.314
42,0.03333,attack,343.433,575.451,0,7,0,0.496
43,0.03333,attack,343.265,567.703,0,7,0,0.812
44,0.03333,attack,343.244,566.734,3,7,2,0.923
45,0.03333,attack,343.244,566.734,3,7,2,0.939
46,0.03333,attack,343.314,569.936,3,7,2,0.982
47,0.03333,attack,343.522,579.541,3,7,2,0.980
48,0.03333,idle,344.000,608.460,3,7,2,0.245
